Rt,Rt_1,Rt_2,Rt_3,Rt_4,Rt_5,Qt
10.404,2.31,5.38,2.606,0.924,0,19.1
1.748,10.404,2.31,5.38,2.606,0.924,13.5
0,1.748,10.404,2.31,5.38,2.606,10.7
0,0,1.748,10.404,2.31,5.38,10.1
0,0,0,1.748,10.404,2.31,8.71
0,0,0,0,1.748,10.404,7.48
6.363,0,0,0,0,1.748,7.12
0,6.363,0,0,0,0,11.9
0.966,0,6.363,0,0,0,6.58
0,0.966,0,6.363,0,0,7.21
0,0,0.966,0,6.363,0,5.59
0,0,0,0.966,0,6.363,5.37
0.414,0,0,0,0.966,0,5.25
1.886,0.414,0,0,0,0.966,5.25
0,1.886,0.414,0,0,0,5.23
7.543,0,1.886,0.414,0,0,5.37
0.28,7.543,0,1.886,0.414,0,13
9.914,0.28,7.543,0,1.886,0.414,7.45
0.23,9.914,0.28,7.543,0,1.886,50.2
6.228,0.23,9.914,0.28,7.543,0,37.7
2.888,6.228,0.23,9.914,0.28,7.543,48.5
0,2.888,6.228,0.23,9.914,0.28,53.6
0.14,0,2.888,6.228,0.23,9.914,47.1
0.28,0.14,0,2.888,6.228,0.23,42.8
33.36,0.28,0.14,0,2.888,6.228,239.9
14.411,33.36,0.28,0.14,0,2.888,131
13.082,14.411,33.36,0.28,0.14,0,178.1
26.033,13.082,14.411,33.36,0.28,0.14,207
9.567,26.033,13.082,14.411,33.36,0.28,109
1.312,9.567,26.033,13.082,14.411,33.36,105
1.288,1.312,9.567,26.033,13.082,14.411,69.4
1.47,1.288,1.312,9.567,26.033,13.082,62.2
0,1.47,1.288,1.312,9.567,26.033,48.7
12.282,0,1.47,1.288,1.312,9.567,162.5
1.978,12.282,0,1.47,1.288,1.312,65.1
24.219,1.978,12.282,0,1.47,1.288,223
0.023,24.219,1.978,12.282,0,1.47,102
0.49,0.023,24.219,1.978,12.282,0,108
53.6,0.49,0.023,24.219,1.978,12.282,130
1.454,53.6,0.49,0.023,24.219,1.978,592
8.122,1.454,53.6,0.49,0.023,24.219,102
12.591,8.122,1.454,53.6,0.49,0.023,269
9.859,12.591,8.122,1.454,53.6,0.49,157
2.602,9.859,12.591,8.122,1.454,53.6,136
14.453,2.602,9.859,12.591,8.122,1.454,244
2.834,14.453,2.602,9.859,12.591,8.122,352
2.764,2.834,14.453,2.602,9.859,12.591,267
0.741,2.764,2.834,14.453,2.602,9.859,163
1.338,0.741,2.764,2.834,14.453,2.602,153
5.523,1.338,0.741,2.764,2.834,14.453,147
0.7,5.523,1.338,0.741,2.764,2.834,213
2.478,0.7,5.523,1.338,0.741,2.764,131
0.448,2.478,0.7,5.523,1.338,0.741,145
1.04,0.448,2.478,0.7,5.523,1.338,120
3.166,1.04,0.448,2.478,0.7,5.523,138
0.14,3.166,1.04,0.448,2.478,0.7,213
0,0.14,3.166,1.04,0.448,2.478,142
0,0,0.14,3.166,1.04,0.448,138
1.952,0,0,0.14,3.166,1.04,128
9.705,1.952,0,0,0.14,3.166,145
12.274,9.705,1.952,0,0,0.14,179
1.114,12.274,9.705,1.952,0,0,273
12.747,1.114,12.274,9.705,1.952,0,301
14.179,12.747,1.114,12.274,9.705,1.952,365
26.068,14.179,12.747,1.114,12.274,9.705,518
19.75,26.068,14.179,12.747,1.114,12.274,691
11.551,19.75,26.068,14.179,12.747,1.114,718
7.993,11.551,19.75,26.068,14.179,12.747,649
1.244,7.993,11.551,19.75,26.068,14.179,478
32.981,1.244,7.993,11.551,19.75,26.068,625
1.324,32.981,1.244,7.993,11.551,19.75,369
24.033,1.324,32.981,1.244,7.993,11.551,339
91.413,24.033,1.324,32.981,1.244,7.993,583
19.778,91.413,24.033,1.324,32.981,1.244,1370
2.976,19.778,91.413,24.033,1.324,32.981,357
0.42,2.976,19.778,91.413,24.033,1.324,350
1.342,0.42,2.976,19.778,91.413,24.033,279
2.776,1.342,0.42,2.976,19.778,91.413,262
6.363,2.776,1.342,0.42,2.976,19.778,255
2.716,6.363,2.776,1.342,0.42,2.976,337
28.437,2.716,6.363,2.776,1.342,0.42,547
2.817,28.437,2.716,6.363,2.776,1.342,306
2.216,2.817,28.437,2.716,6.363,2.776,261
0.513,2.216,2.817,28.437,2.716,6.363,232
0.989,0.513,2.216,2.817,28.437,2.716,228
3.726,0.989,0.513,2.216,2.817,28.437,222
